time_slot,people_in
10:00 - 10:10,0.5
10:10 - 10:20,0.0
10:20 - 10:30,0.75
10:30 - 10:40,1.75
10:40 - 10:50,3.25
10:50 - 11:00,8.5
11:00 - 11:10,19.25
11:10 - 11:20,29.0
11:20 - 11:30,34.0
11:30 - 11:40,39.25
11:40 - 11:50,34.0
11:50 - 12:00,26.25
12:00 - 12:10,12.5
12:10 - 12:20,11.75
12:20 - 12:30,14.5
12:30 - 12:40,17.5
12:40 - 12:50,24.5
12:50 - 13:00,30.0
13:00 - 13:10,41.5
13:10 - 13:20,40.0
13:20 - 13:30,52.0
13:30 - 13:40,44.0
13:40 - 13:50,41.0
13:50 - 14:00,
14:00 - 14:10,
14:10 - 14:20,13.0
14:20 - 14:30,10.0
14:30 - 14:40,8.0
14:40 - 14:50,5.666666666666667
14:50 - 15:00,11.0
15:00 - 15:10,11.5
15:10 - 15:20,17.5
15:20 - 15:30,20.75
15:30 - 15:40,22.25
15:40 - 15:50,25.5
15:50 - 16:00,24.5
16:00 - 16:10,28.0
16:10 - 16:20,22.0
16:20 - 16:30,
16:30 - 16:40,
16:40 - 16:50,16.0
16:50 - 17:00,15.0
17:00 - 17:10,19.666666666666668
17:10 - 17:20,18.333333333333332
17:20 - 17:30,23.333333333333332
17:30 - 17:40,22.0
17:40 - 17:50,21.75
17:50 - 18:00,14.75
18:00 - 18:10,9.25
18:10 - 18:20,9.25
18:20 - 18:30,4.25
18:30 - 18:40,3.25
18:40 - 18:50,1.25
18:50 - 19:00,0.5
