Day,Time_Block,Total_Entries
Monday,10:00,0.0
Monday,10:10,0.0
Monday,10:20,1.0
Monday,10:30,2.0
Monday,10:40,2.0
Monday,10:50,7.0
Monday,11:00,12.0
Monday,11:10,17.0
Monday,11:20,30.0
Monday,11:30,42.0
Monday,11:40,32.0
Monday,11:50,31.0
Monday,12:00,7.0
Monday,12:10,15.0
Monday,12:20,13.0
Monday,12:30,15.0
Monday,12:40,23.0
Monday,12:50,20.0
Monday,13:00,34.0
Monday,13:10,
Monday,13:20,
Monday,13:30,
Monday,13:40,
Monday,13:50,
Monday,14:00,
Monday,14:10,11.0
Monday,14:20,5.0
Monday,14:30,6.0
Monday,14:40,5.0
Monday,14:50,9.0
Monday,15:00,7.0
Monday,15:10,11.0
Monday,15:20,14.0
Monday,15:30,13.0
Monday,15:40,22.0
Monday,15:50,24.0
Monday,16:00,
Monday,16:10,
Monday,16:20,
Monday,16:30,
Monday,16:40,
Monday,16:50,
Monday,17:00,20.0
Monday,17:10,23.0
Monday,17:20,29.0
Monday,17:30,21.0
Monday,17:40,19.0
Monday,17:50,14.0
Monday,18:00,5.0
Monday,18:10,7.0
Monday,18:20,5.0
Monday,18:30,7.0
Monday,18:40,1.0
Monday,18:50,1.0
Tuesday,10:00,1.0
Tuesday,10:10,0.0
Tuesday,10:20,0.0
Tuesday,10:30,2.0
Tuesday,10:40,4.0
Tuesday,10:50,12.0
Tuesday,11:00,19.0
Tuesday,11:10,27.0
Tuesday,11:20,28.0
Tuesday,11:30,26.0
Tuesday,11:40,25.0
Tuesday,11:50,22.0
Tuesday,12:00,13.0
Tuesday,12:10,6.0
Tuesday,12:20,11.0
Tuesday,12:30,16.0
Tuesday,12:40,16.0
Tuesday,12:50,27.0
Tuesday,13:00,32.0
Tuesday,13:10,31.0
Tuesday,13:20,
Tuesday,13:30,
Tuesday,13:40,
Tuesday,13:50,
Tuesday,14:00,
Tuesday,14:10,
Tuesday,14:20,14.0
Tuesday,14:30,11.0
Tuesday,14:40,9.0
Tuesday,14:50,18.0
Tuesday,15:00,12.0
Tuesday,15:10,18.0
Tuesday,15:20,21.0
Tuesday,15:30,24.0
Tuesday,15:40,
Tuesday,15:50,
Tuesday,16:00,
Tuesday,16:10,
Tuesday,16:20,
Tuesday,16:30,
Tuesday,16:40,
Tuesday,16:50,
Tuesday,17:00,20.0
Tuesday,17:10,14.0
Tuesday,17:20,20.0
Tuesday,17:30,27.0
Tuesday,17:40,22.0
Tuesday,17:50,15.0
Tuesday,18:00,13.0
Tuesday,18:10,13.0
Tuesday,18:20,5.0
Tuesday,18:30,4.0
