time_slot,people_in
10:00 - 10:10,1
10:10 - 10:20,0
10:20 - 10:30,1
10:30 - 10:40,2
10:40 - 10:50,4
10:50 - 11:00,9
11:00 - 11:10,20
11:10 - 11:20,29
11:20 - 11:30,34
11:30 - 11:40,40
11:40 - 11:50,34
11:50 - 12:00,27
12:00 - 12:10,13
12:10 - 12:20,12
12:20 - 12:30,15
12:30 - 12:40,18
12:40 - 12:50,25
12:50 - 13:00,30
13:00 - 13:10,42
13:10 - 13:20,40
13:20 - 13:30,52
13:30 - 13:40,44
13:40 - 13:50,41
13:50 - 14:00,
14:00 - 14:10,
14:10 - 14:20,13
14:20 - 14:30,10
14:30 - 14:40,8
14:40 - 14:50,6
14:50 - 15:00,11
15:00 - 15:10,12
15:10 - 15:20,18
15:20 - 15:30,21
15:30 - 15:40,23
15:40 - 15:50,26
15:50 - 16:00,25
16:00 - 16:10,28
16:10 - 16:20,22
16:20 - 16:30,
16:30 - 16:40,
16:40 - 16:50,16
16:50 - 17:00,15
17:00 - 17:10,20
17:10 - 17:20,19
17:20 - 17:30,24
17:30 - 17:40,22
17:40 - 17:50,22
17:50 - 18:00,15
18:00 - 18:10,10
18:10 - 18:20,10
18:20 - 18:30,5
18:30 - 18:40,4
18:40 - 18:50,2
18:50 - 19:00,1
