arrival_time,wait_time
10:31:28,00:05:26
10:36:57,00:04:56
10:46:05,00:02:01
10:47:14,00:03:19
10:49:38,00:02:24
10:52:48,00:02:19
10:54:37,00:02:21
10:54:52,00:01:48
10:57:03,00:03:05
10:58:00,00:04:45
11:00:01,00:01:10
11:00:43,00:05:09
11:01:07,00:04:32
11:01:25,00:05:38
11:01:29,00:07:11
11:01:53,00:10:59
11:02:37,00:10:08
11:03:16,00:13:28
11:04:54,00:09:44
11:05:11,00:12:14
11:06:01,00:14:25
11:07:14,00:12:01
11:09:12,00:12:15
11:10:13,00:14:02
11:11:07,00:12:06
11:11:21,00:14:12
11:11:50,00:15:22
11:13:01,00:15:34
11:13:28,00:15:16
11:13:31,N/A
11:13:39,N/A
11:14:03,N/A
11:15:29,00:14:25
11:16:44,N/A
11:16:51,00:14:35
11:17:14,N/A
11:17:56,00:15:21
11:18:06,N/A
11:18:51,N/A
11:19:18,00:16:39
11:19:34,N/A
11:19:58,N/A
11:20:06,N/A
11:20:09,N/A
11:21:06,00:14:41
11:21:18,N/A
11:21:32,00:17:06
11:22:32,N/A
11:23:27,00:13:51
11:23:35,N/A
11:23:43,N/A
11:25:34,00:13:41
11:25:37,00:15:06
11:25:38,N/A
11:26:11,N/A
11:26:30,N/A
11:26:42,N/A
11:28:19,00:14:10
11:30:01,00:13:01
11:30:07,00:17:50
11:30:30,00:13:10
11:30:49,N/A
11:30:54,N/A
11:31:38,00:15:44
11:31:50,N/A
11:31:50,N/A
11:31:57,N/A
11:32:03,N/A
11:32:06,N/A
11:32:07,N/A
11:32:38,N/A
11:32:41,N/A
11:34:04,00:15:59
11:34:29,N/A
11:34:33,N/A
11:35:59,00:16:00
11:36:39,00:20:07
11:37:02,N/A
11:37:15,N/A
11:37:45,00:16:20
11:38:37,N/A
11:38:57,00:19:04
11:39:08,N/A
11:39:20,00:19:28
11:39:47,N/A
11:41:07,00:20:21
11:41:37,N/A
11:41:39,N/A
11:41:48,N/A
11:41:56,N/A
11:42:19,N/A
11:42:37,00:19:42
11:43:05,00:19:13
11:43:20,N/A
11:43:41,00:20:49
11:43:49,N/A
11:44:03,N/A
11:45:33,N/A
11:45:39,N/A
11:46:32,N/A
11:47:01,N/A
11:47:17,N/A
11:47:50,00:18:25
11:48:15,00:18:59
11:48:22,N/A
11:48:24,N/A
11:48:27,N/A
11:48:41,N/A
11:49:07,N/A
11:50:28,00:22:41
11:50:57,N/A
11:51:10,N/A
11:51:15,N/A
11:51:26,N/A
11:51:51,N/A
11:53:21,00:17:13
11:53:42,N/A
11:54:05,N/A
11:54:09,00:19:41
11:54:42,N/A
11:54:53,N/A
11:54:59,N/A
11:56:15,N/A
11:56:21,N/A
11:56:55,00:21:11
11:59:58,00:17:31
12:00:43,00:20:15
12:02:50,00:16:52
12:03:35,00:18:08
12:03:44,00:20:59
12:06:54,00:19:36
12:07:04,00:20:44
12:07:28,00:21:03
12:08:57,N/A
12:10:30,N/A
12:12:45,00:18:02
12:13:46,00:20:20
12:14:25,00:18:12
12:15:33,N/A
12:15:50,N/A
12:18:02,00:16:11
12:19:54,00:15:47
12:20:15,00:20:33
12:21:30,00:19:40
12:21:36,N/A
12:22:04,00:20:44
12:22:24,N/A
12:23:50,N/A
12:24:27,N/A
12:24:35,N/A
12:25:16,00:19:04
12:25:35,N/A
12:27:01,00:17:22
12:30:16,00:19:40
12:31:41,00:14:21
12:31:50,00:16:46
12:35:27,00:14:59
12:36:29,00:15:57
12:36:44,00:15:06
12:37:43,00:17:10
12:37:53,N/A
12:38:37,N/A
12:40:36,N/A
12:40:38,N/A
12:40:39,N/A
12:41:03,00:15:54
12:41:26,00:14:51
12:41:30,N/A
12:42:27,N/A
12:42:59,00:17:18
12:43:59,N/A
12:44:48,00:14:31
12:45:02,00:18:11
12:45:41,N/A
12:46:27,00:16:30
12:46:53,N/A
12:47:12,N/A
12:47:23,N/A
12:47:48,N/A
12:49:32,00:15:32
12:49:58,00:15:38
12:50:52,00:17:56
12:52:15,00:14:24
12:52:16,N/A
12:53:10,00:15:06
12:53:42,N/A
12:54:17,N/A
12:55:35,00:14:59
12:55:43,N/A
12:56:12,N/A
12:56:22,00:15:11
12:57:00,00:16:03
12:57:39,N/A
12:57:55,N/A
12:57:59,N/A
12:58:01,N/A
12:58:13,N/A
12:58:19,N/A
13:00:04,00:13:00
13:00:23,00:15:41
13:00:34,N/A
13:01:06,N/A
13:01:21,N/A
13:01:39,N/A
13:01:39,N/A
13:02:30,N/A
13:02:38,N/A
13:02:55,N/A
13:03:40,00:11:43
13:03:53,00:13:18
13:04:07,N/A
13:04:19,N/A
13:04:54,N/A
13:05:06,00:13:04
13:05:15,N/A
13:05:49,00:15:08
13:06:05,N/A
13:06:47,00:16:32
13:07:29,N/A
13:08:07,N/A
13:08:08,N/A
13:08:11,N/A
13:08:58,00:12:53
13:09:01,00:13:32
13:09:17,N/A
13:09:54,N/A
13:09:59,N/A
13:10:01,N/A
13:10:30,N/A
13:10:47,00:14:55
13:11:16,N/A
13:11:21,N/A
13:11:23,N/A
13:11:23,N/A
13:11:32,N/A
13:12:14,00:12:42
13:12:15,N/A
13:12:18,N/A
13:12:47,N/A
13:12:47,N/A
13:13:40,00:12:14
13:13:54,00:15:19
13:13:59,N/A
