arrival_time,in_queue_time
10:37:17,00:00:00
10:47:02,00:00:00
10:56:34,00:00:00
10:57:40,00:00:00
11:00:07,00:00:00
11:00:51,00:00:00
11:03:23,00:00:00
11:06:55,00:00:00
11:09:38,00:00:00
11:09:54,00:00:00
11:09:57,00:00:37
11:10:05,00:00:55
11:11:31,00:01:47
11:11:52,00:03:37
11:12:24,00:03:42
11:12:59,00:05:54
11:12:59,00:06:00
11:16:38,00:03:11
11:19:18,00:02:05
11:19:34,00:03:54
11:20:18,00:03:25
11:21:50,00:02:30
11:22:58,00:03:11
11:23:08,00:05:23
11:23:53,00:05:56
11:24:30,00:06:21
11:25:32,00:05:47
11:25:37,00:06:40
11:25:42,00:08:06
11:26:22,00:08:17
11:27:04,00:09:33
11:27:07,00:09:30
11:30:03,00:08:29
11:30:04,00:09:49
11:30:39,00:09:37
11:31:23,00:12:41
11:33:29,00:11:59
11:33:43,00:11:53
11:35:30,00:12:10
11:37:07,00:11:55
11:37:09,00:12:43
11:37:38,00:15:17
11:38:06,N/A
11:38:25,N/A
11:38:31,N/A
11:38:48,00:15:29
11:40:24,00:15:42
11:40:34,00:17:02
11:41:18,N/A
11:42:31,N/A
11:44:07,00:14:33
11:44:23,N/A
11:44:24,N/A
11:44:58,N/A
11:45:34,00:13:28
11:47:08,00:13:29
11:49:24,00:12:20
11:52:23,00:09:29
11:52:29,00:11:05
11:53:14,00:11:50
11:55:20,00:11:18
11:58:03,00:09:37
11:58:19,00:09:35
11:58:48,00:09:38
11:58:57,N/A
11:59:28,00:11:10
12:03:23,00:09:22
12:06:30,00:06:29
12:08:10,00:07:06
12:08:59,00:08:41
12:11:35,00:06:47
12:13:31,00:05:51
12:13:59,00:06:26
12:19:12,00:02:32
12:21:26,00:01:58
12:22:24,00:01:27
12:23:55,00:01:35
12:26:21,00:00:00
12:26:46,00:00:48
12:28:37,00:00:32
12:33:47,00:00:00
12:33:47,00:00:00
12:35:36,00:00:00
12:38:59,00:00:00
12:39:25,00:00:40
12:40:16,00:01:13
12:40:23,00:02:15
12:40:46,00:01:59
12:40:49,00:04:29
12:43:33,00:03:35
12:43:47,00:04:07
12:44:42,00:04:53
12:46:09,00:03:37
12:50:55,00:01:39
12:52:45,00:01:04
12:52:58,00:01:19
12:53:51,00:03:04
12:54:07,00:03:45
12:54:44,00:03:15
12:55:01,00:04:41
12:55:22,00:05:04
12:56:01,00:05:17
12:56:06,00:06:33
13:00:47,00:03:37
13:01:15,00:04:39
13:01:45,00:05:07
13:02:17,00:06:51
13:03:49,00:05:42
13:06:55,00:04:22
13:07:05,00:04:40
13:07:08,00:05:53
13:08:02,00:08:50
13:08:04,00:09:32
13:08:13,00:09:34
13:08:41,00:10:38
13:08:45,00:11:28
13:09:24,00:11:20
13:10:07,00:11:50
13:12:15,00:11:15
13:12:52,00:11:29
13:13:54,00:11:19
13:15:02,N/A
13:15:03,N/A
13:15:23,N/A
13:15:23,N/A
13:15:27,N/A
13:17:42,00:08:42
13:17:54,00:09:51
13:18:56,00:09:17
13:19:15,N/A
13:19:49,00:09:47
13:20:27,00:11:35
13:21:11,00:12:03
13:22:14,00:12:38
13:22:19,N/A
13:22:27,N/A
13:22:32,N/A
13:22:51,N/A
13:23:33,00:11:50
13:23:49,N/A
13:25:33,00:11:00
13:25:40,00:11:07
13:25:58,N/A
13:26:46,00:11:18
13:27:10,N/A
13:29:58,00:10:06
13:30:34,00:10:01
13:31:40,00:09:29
13:32:24,00:11:36
13:33:54,00:12:43
13:33:57,N/A
13:33:58,N/A
13:34:21,N/A
13:34:48,N/A
13:35:05,00:14:24
13:36:18,00:14:19
13:37:52,00:13:41
13:37:55,00:14:42
13:38:07,00:16:04
13:39:03,N/A
13:39:37,N/A
13:42:12,00:12:09
13:42:36,00:13:50
13:42:56,00:15:54
13:43:25,N/A
13:44:44,00:16:37
13:44:59,N/A
13:45:03,N/A
13:45:54,N/A
13:45:57,N/A
13:46:45,00:18:19
13:48:21,N/A
13:48:53,N/A
13:49:03,N/A
13:50:15,00:15:58
13:53:58,00:13:03
13:54:05,00:15:47
13:54:49,00:17:15
13:54:54,00:17:39
13:55:45,00:18:15
13:57:04,00:18:03
13:58:15,N/A
13:58:45,N/A
13:58:48,N/A
13:59:09,00:17:58
14:01:24,00:15:55
14:01:32,N/A
14:03:08,N/A
14:04:33,N/A
14:06:27,00:12:51
14:07:25,00:12:04
14:08:17,00:13:31
14:09:54,00:14:42
14:10:22,N/A
14:13:51,00:11:00
14:15:58,00:09:43
