time_band,no_of_people,no_of_groups
10:30 - 10:40,2,1
10:40 - 10:50,3,1
10:50 - 11:00,9,3
11:00 - 11:10,19,9
11:10 - 11:20,29,13
11:20 - 11:30,34,15
11:30 - 11:40,40,16
11:40 - 11:50,33,17
11:50 - 12:00,26,11
12:00 - 12:10,12,5
12:10 - 12:20,11,3
12:20 - 12:30,15,8
12:30 - 12:40,17,6
12:40 - 12:50,23,11
12:50 - 13:00,30,13
13:00 - 13:10,41,18
13:10 - 13:20,39,15
13:20 - 13:30,52,21
13:30 - 13:40,44,21
13:40 - 13:50,41,17
13:50 - 14:00,33,17
14:00 - 14:10,22,9
14:10 - 14:20,13,6
14:20 - 14:30,10,4
14:30 - 14:40,7,4
14:40 - 14:50,6,3
14:50 - 15:00,10,5
15:00 - 15:10,13,6
15:10 - 15:20,18,10
15:20 - 15:30,21,10
15:30 - 15:40,23,8
15:40 - 15:50,25,10
15:50 - 16:00,25,7
16:00 - 16:10,28,13
16:10 - 16:20,21,10
16:20 - 16:30,21,8
16:30 - 16:40,19,9
16:40 - 16:50,16,8
16:50 - 17:00,14,7
17:00 - 17:10,19,9
17:10 - 17:20,19,8
17:20 - 17:30,23,12
17:30 - 17:40,21,9
17:40 - 17:50,22,10
17:50 - 18:00,14,4
18:00 - 18:10,11,4
18:10 - 18:20,11,5
18:20 - 18:30,4,3
18:30 - 18:40,4,2
