group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,1,Served,10:00 - 10:10,10:08:52,00:00:00,10:08:52,00:03:08,00:03:08,h1
2,1,Served,10:20 - 10:30,10:24:14,00:00:00,10:24:14,00:03:31,00:03:31,h1
3,2,Served,10:30 - 10:40,10:39:53,00:00:00,10:39:53,00:04:16,00:04:16,h1
4,1,Served,10:40 - 10:50,10:45:05,00:00:00,10:45:05,00:01:15,00:01:15,h1
5,2,Served,10:40 - 10:50,10:46:03,00:00:00,10:46:03,00:03:47,00:03:47,h2
6,1,Served,10:50 - 11:00,10:56:17,00:00:00,10:56:17,00:03:38,00:03:38,h1
7,2,Served,10:50 - 11:00,10:54:43,00:00:00,10:54:43,00:00:58,00:00:58,h2
8,3,Served,10:50 - 11:00,10:53:57,00:00:00,10:53:57,00:01:15,00:01:15,h1
9,1,Served,10:50 - 11:00,10:55:06,00:00:00,10:55:06,00:03:49,00:03:49,k1
10,2,Served,10:50 - 11:00,10:52:09,00:00:00,10:52:09,00:01:31,00:01:31,h1
11,2,Served,11:00 - 11:10,11:02:13,00:00:47,11:03:00,00:00:59,00:01:46,h1
12,1,Served,11:00 - 11:10,11:01:41,00:00:00,11:01:41,00:01:42,00:01:42,h2
13,1,Served,11:00 - 11:10,11:00:09,00:00:00,11:00:09,00:02:51,00:02:51,h1
14,1,Served,11:00 - 11:10,11:01:57,00:00:00,11:01:57,00:01:25,00:01:25,k1
15,1,Served,11:00 - 11:10,11:04:32,00:00:00,11:04:32,00:01:47,00:01:47,h1
16,1,Served,11:00 - 11:10,11:08:56,00:00:00,11:08:56,00:02:13,00:02:13,h1
17,1,Served,11:00 - 11:10,11:02:09,00:00:00,11:02:09,00:01:49,00:01:49,k2
18,2,Served,11:00 - 11:10,11:09:23,00:00:00,11:09:23,00:05:17,00:05:17,h2
19,4,Served,11:00 - 11:10,11:03:19,00:00:03,11:03:22,00:03:35,00:03:38,k1
20,1,Served,11:00 - 11:10,11:05:59,00:00:00,11:05:59,00:02:58,00:02:58,k2
21,1,Served,11:00 - 11:10,11:06:36,00:00:21,11:06:57,00:01:42,00:02:03,k1
22,1,Served,11:00 - 11:10,11:05:28,00:00:00,11:05:28,00:02:45,00:02:45,h2
23,2,Served,11:00 - 11:10,11:06:13,00:00:06,11:06:19,00:01:59,00:02:05,h1
24,1,Served,11:00 - 11:10,11:09:40,00:00:00,11:09:40,00:02:44,00:02:44,k1
25,2,Served,11:10 - 11:20,11:16:09,00:02:29,11:18:38,00:01:13,00:03:42,h2
26,2,Served,11:10 - 11:20,11:16:54,00:02:12,11:19:06,00:03:38,00:05:50,k1
27,2,Served,11:10 - 11:20,11:15:21,00:02:52,11:18:13,00:01:24,00:04:16,h1
28,2,Served,11:10 - 11:20,11:15:08,00:02:32,11:17:40,00:01:26,00:03:58,k1
29,2,Served,11:10 - 11:20,11:12:25,00:00:00,11:12:25,00:03:03,00:03:03,k1
30,2,Served,11:10 - 11:20,11:14:40,00:00:28,11:15:08,00:03:05,00:03:33,h1
31,4,Served,11:10 - 11:20,11:18:15,00:01:36,11:19:51,00:02:16,00:03:52,h2
32,2,Served,11:10 - 11:20,11:10:55,00:00:00,11:10:55,00:07:44,00:07:44,k2
