group_id,service_time
3,00:05:13
4,00:04:30
9,00:03:42
10,00:01:44
11,00:02:18
15,00:02:11
20,00:02:00
22,00:01:44
26,00:01:08
27,00:01:34
31,00:03:21
36,00:01:34
37,00:02:26
39,00:02:57
40,00:01:56
41,00:03:05
47,00:01:56
54,00:02:20
59,00:03:59
63,00:01:53
68,00:02:38
69,00:03:02
75,00:01:24
76,00:02:40
77,00:01:57
92,00:05:23
98,00:03:21
102,00:01:51
105,00:01:16
111,00:03:20
116,00:02:36
119,00:00:47
121,00:03:29
129,00:03:31
130,00:03:11
133,00:01:53
137,00:05:09
140,00:01:40
141,00:02:04
149,00:05:16
151,00:02:14
157,00:00:54
160,00:02:10
163,00:02:59
167,00:01:54
173,00:09:24
175,00:02:37
177,00:02:05
186,00:01:44
187,00:04:54
192,00:01:17
198,00:02:38
206,00:02:38
212,00:02:10
222,00:02:40
227,00:02:42
232,00:01:35
233,00:01:53
241,00:04:32
243,00:02:31
256,00:01:07
260,00:01:58
262,00:01:18
265,00:05:03
271,00:02:52
289,00:00:49
296,00:00:53
299,00:01:41
315,00:01:15
319,00:02:24
320,00:03:47
331,00:01:35
338,00:00:59
341,00:04:18
344,00:03:58
348,00:03:19
351,00:02:30
357,00:02:37
359,00:01:21
360,00:03:53
370,00:05:09
373,00:03:26
377,00:01:31
385,00:03:10
387,00:01:15
389,00:01:27
392,00:01:32
394,00:02:21
396,00:01:17
407,00:05:29
409,00:04:35
410,00:03:15
414,00:02:31
417,00:01:10
421,00:02:02
422,00:02:42
423,00:01:30
428,00:01:06
432,00:01:29
434,00:02:57
436,00:01:49
442,00:06:03
445,00:01:39
451,00:01:21
452,00:02:19
458,00:02:26
459,00:02:28
470,00:03:33
473,00:03:28
474,00:01:38
476,00:02:26
478,00:02:16
479,00:01:56
483,00:02:21
488,00:02:09
491,00:01:49
492,00:02:13
495,00:01:20
500,00:06:59
506,00:02:35
508,00:03:01
511,00:02:47
520,00:05:11
527,00:02:30
528,00:02:01
532,00:02:59
533,00:01:12
535,00:01:06
537,00:02:47
538,00:02:50
545,00:03:59
547,00:05:01
552,00:06:20
561,00:01:36
563,00:01:29
566,00:04:39
568,00:00:50
573,00:01:30
577,00:01:24
581,00:01:18
582,00:01:59
584,00:04:17
588,00:02:39
593,00:03:21
596,00:04:06
605,00:01:41
607,00:01:42
609,00:01:25
613,00:02:56
614,00:02:04
615,00:05:17
