time,length
00:00:00,0
10:20:22,1
10:20:22,0
10:30:52,1
10:30:52,0
10:46:09,1
10:46:09,0
10:53:40,1
10:53:40,0
10:55:48,1
10:55:48,0
10:56:11,1
10:56:11,0
11:01:10,1
11:01:10,0
11:02:12,1
11:02:12,0
11:03:05,1
11:03:05,0
11:05:08,1
11:05:08,0
11:07:15,1
11:07:15,0
11:12:06,1
11:12:06,0
11:13:47,1
11:13:47,0
11:14:39,1
11:14:39,0
11:14:49,1
11:14:49,0
11:16:29,1
11:16:29,0
11:16:35,1
11:16:35,0
11:16:39,1
11:17:24,2
11:17:51,1
11:17:52,2
11:18:20,1
11:19:42,2
11:20:21,3
11:20:34,2
11:20:59,1
11:22:32,0
11:22:59,1
11:22:59,0
11:23:59,1
11:24:14,0
11:24:18,1
11:24:39,2
11:25:09,1
11:25:24,0
11:26:23,1
11:26:23,0
11:26:55,1
11:27:22,2
11:27:29,1
11:27:39,0
11:28:05,1
11:28:29,0
11:29:52,1
11:29:52,0
11:30:51,1
11:30:51,0
11:31:20,1
11:31:20,0
11:31:28,1
11:31:54,0
11:32:34,1
11:32:34,0
11:33:15,1
11:33:15,0
11:34:42,1
11:34:42,0
11:34:53,1
11:34:53,0
11:37:42,1
11:37:42,0
11:38:28,1
11:38:28,0
11:39:16,1
11:39:16,0
11:40:37,1
11:40:37,0
11:42:53,1
11:42:53,0
11:43:00,1
11:43:00,0
11:44:11,1
11:44:11,0
11:45:24,1
11:45:24,0
11:45:33,1
11:45:33,2
11:45:33,1
11:45:33,0
11:47:35,1
11:47:35,0
11:47:40,1
11:47:40,0
11:47:57,1
11:48:41,0
11:50:48,1
11:50:48,0
11:52:22,1
11:52:22,0
11:52:58,1
11:52:58,0
11:54:39,1
11:54:39,0
11:55:22,1
11:55:22,0
11:56:04,1
11:56:08,0
11:56:35,1
11:56:35,0
11:57:24,1
11:57:24,0
11:58:50,1
11:58:50,0
12:02:15,1
12:02:15,0
12:04:09,1
12:04:09,0
12:05:06,1
12:05:06,0
12:08:09,1
12:08:09,0
12:14:07,1
12:14:07,0
12:16:46,1
12:16:46,0
12:18:14,1
12:18:14,0
12:24:54,1
12:24:54,0
12:25:51,1
12:25:51,0
12:26:37,1
12:26:37,0
12:27:34,1
12:27:34,0
12:29:51,1
12:29:51,0
12:33:24,1
12:33:24,0
12:34:20,1
12:34:20,0
12:35:04,1
12:35:04,0
12:35:29,1
12:35:29,0
12:35:33,1
12:35:46,0
12:37:14,1
12:37:26,0
12:40:05,1
12:40:05,0
12:41:20,1
12:41:20,0
12:42:25,1
12:42:25,0
12:42:59,1
12:42:59,0
12:43:27,1
12:43:27,0
12:45:09,1
12:45:09,0
12:47:09,1
12:47:09,0
12:47:19,1
12:47:19,0
12:48:16,1
12:48:16,0
12:49:46,1
12:49:46,0
12:50:22,1
12:50:43,0
12:52:46,1
12:52:46,0
12:53:36,1
12:53:36,0
12:54:45,1
12:54:45,0
12:55:32,1
12:55:32,0
12:57:13,1
12:57:13,0
12:58:55,1
12:58:55,0
12:59:57,1
12:59:57,0
13:01:38,1
13:01:38,0
13:02:05,1
13:02:05,0
13:02:50,1
13:03:19,0
13:05:35,1
13:05:35,0
13:05:43,1
13:05:43,0
13:06:18,1
13:06:39,0
13:07:17,1
13:07:42,0
13:07:58,1
13:07:59,2
13:07:59,1
13:08:04,2
13:08:05,1
13:08:44,2
13:08:50,3
13:09:14,4
13:09:22,5
13:09:34,4
13:09:53,3
13:09:55,2
13:10:19,3
13:10:27,4
13:10:31,5
13:10:35,4
13:10:53,3
13:11:47,2
13:11:47,1
13:11:54,0
13:12:25,1
13:12:25,0
13:12:44,1
13:12:46,0
13:14:04,1
13:14:07,0
13:14:49,1
13:14:51,0
13:14:59,1
13:14:59,0
13:15:40,1
13:15:40,0
13:16:07,1
13:16:07,0
13:16:11,1
13:16:24,0
13:16:40,1
13:17:22,0
13:18:29,1
13:18:29,0
13:21:18,1
13:21:18,0
13:21:26,1
13:21:26,0
13:21:59,1
13:22:43,2
13:22:50,1
13:22:51,2
13:22:51,1
13:23:17,2
13:23:28,3
13:24:22,2
13:24:38,3
13:25:00,4
13:25:03,5
13:25:05,6
13:25:43,5
13:25:44,6
13:25:52,5
13:26:10,6
13:26:23,5
13:26:35,6
13:26:40,5
13:26:57,6
13:26:58,5
13:28:21,4
13:28:51,5
13:28:57,4
13:29:23,5
13:29:30,4
13:29:33,5
13:30:13,6
13:30:26,5
13:30:42,6
13:30:56,7
13:31:00,8
13:31:18,9
13:31:52,10
13:31:53,9
13:31:56,8
13:32:47,7
13:32:55,6
13:34:24,7
13:34:39,6
13:34:48,5
13:35:21,4
13:35:44,3
13:35:48,2
13:36:06,3
13:36:22,2
13:36:27,3
13:36:31,4
13:37:10,3
13:37:10,2
13:37:11,3
13:37:20,2
13:37:56,3
13:37:58,2
13:38:40,3
13:38:40,2
13:39:04,1
13:39:08,2
13:39:50,1
13:39:53,0
13:40:40,1
13:40:40,0
13:40:52,1
13:40:54,2
13:41:00,1
13:41:17,0
13:41:40,1
13:42:12,2
13:42:15,1
13:42:20,0
13:42:32,1
13:42:37,2
13:42:47,3
13:43:04,2
13:43:20,1
13:43:27,0
13:44:05,1
13:44:59,2
13:45:02,1
13:45:14,2
13:45:33,1
13:45:53,2
13:46:17,3
13:46:21,4
13:46:29,3
13:47:12,2
13:47:21,1
13:47:45,0
13:48:33,1
13:48:33,0
13:49:19,1
13:49:19,0
13:51:36,1
13:51:36,0
13:51:47,1
13:51:47,0
13:51:57,1
13:51:57,0
13:52:32,1
13:52:48,2
13:52:53,3
13:53:46,2
13:54:16,1
13:54:44,0
13:54:57,1
13:55:42,0
13:56:04,1
13:56:34,0
13:57:29,1
13:57:29,0
13:59:12,1
13:59:12,0
13:59:50,1
13:59:50,0
14:01:35,1
14:01:35,0
14:02:17,1
14:02:17,0
14:02:35,1
14:02:35,0
14:02:46,1
14:02:46,0
14:03:11,1
14:03:24,0
14:04:35,1
14:04:35,0
14:09:47,1
14:09:47,0
14:14:54,1
14:14:54,0
14:16:04,1
14:16:04,0
14:16:36,1
14:16:36,0
14:19:16,1
14:19:16,0
14:20:40,1
14:20:40,0
14:22:34,1
14:22:34,0
14:23:48,1
14:23:48,0
14:34:57,1
14:34:57,0
14:36:33,1
14:36:33,0
14:42:19,1
14:42:19,0
14:44:25,1
14:44:25,0
14:52:12,1
14:52:12,0
14:58:01,1
14:58:01,0
14:58:53,1
14:58:53,0
15:01:00,1
15:01:00,0
15:04:48,1
15:04:48,0
15:06:10,1
15:06:10,0
15:08:54,1
15:08:54,0
15:09:57,1
15:09:57,0
15:11:14,1
15:11:14,0
15:12:31,1
15:12:31,0
15:15:47,1
15:15:47,0
15:16:42,1
15:16:42,0
15:17:56,1
15:17:56,0
15:19:21,1
15:19:21,0
15:21:32,1
15:21:32,0
15:21:57,1
15:21:57,0
15:24:10,1
15:24:10,0
15:27:48,1
15:27:48,0
15:29:54,1
15:29:54,0
15:30:22,1
15:30:22,0
15:33:20,1
15:33:20,0
15:35:45,1
15:35:45,0
15:37:29,1
15:37:29,0
15:37:41,1
15:37:41,0
15:39:03,1
15:39:03,0
15:40:28,1
15:40:39,0
15:40:47,1
15:41:06,0
15:42:01,1
15:42:01,0
15:43:13,1
15:43:13,0
15:44:20,1
15:44:20,0
15:48:21,1
15:48:21,0
15:49:51,1
15:49:51,0
15:49:56,1
15:49:56,0
15:51:00,1
15:51:00,0
15:51:38,1
15:51:38,0
15:51:51,1
15:52:17,2
15:52:25,1
15:52:28,2
15:52:28,1
15:52:52,2
15:53:32,1
15:54:20,0
15:54:41,1
15:54:59,0
15:57:13,1
15:57:13,0
15:59:40,1
15:59:40,0
16:00:17,1
16:00:17,0
16:01:01,1
16:01:01,0
16:02:03,1
16:02:03,0
16:04:57,1
16:04:57,0
16:06:31,1
16:06:31,2
16:06:31,1
16:06:31,0
16:09:19,1
16:09:19,0
16:09:47,1
16:09:47,0
16:10:01,1
16:10:01,0
16:10:02,1
16:10:33,2
16:12:18,1
16:12:23,2
16:12:36,1
16:13:34,0
16:14:10,1
16:14:10,0
16:16:01,1
16:16:01,0
16:17:20,1
16:17:20,0
16:17:52,1
16:17:52,0
16:17:56,1
16:17:56,0
16:20:40,1
16:20:40,0
16:20:46,1
16:20:46,0
16:22:31,1
16:22:31,0
16:22:42,1
16:22:42,0
16:23:43,1
16:23:43,0
16:25:46,1
16:25:46,0
16:27:57,1
16:27:57,0
16:28:09,1
16:28:42,0
16:31:03,1
16:31:03,0
16:33:00,1
16:33:00,0
16:33:22,1
16:33:22,0
16:35:46,1
16:35:46,0
16:38:23,1
16:38:23,0
16:38:36,1
16:38:36,2
16:38:36,1
16:39:03,2
16:39:08,1
16:40:04,2
16:41:44,3
16:41:55,2
16:43:01,1
16:43:22,0
16:43:25,1
16:43:38,0
16:45:08,1
16:45:08,0
16:46:07,1
16:46:07,0
16:53:09,1
16:53:09,0
16:54:22,1
16:54:22,0
16:57:44,1
16:57:44,0
16:59:32,1
16:59:32,0
17:00:17,1
17:00:17,0
17:05:29,1
17:05:29,0
17:05:47,1
17:05:47,0
17:06:50,1
17:06:50,0
17:07:03,1
17:07:03,0
17:08:05,1
17:08:05,0
17:11:46,1
17:11:46,0
17:14:18,1
17:14:18,0
17:14:44,1
17:14:44,0
17:16:41,1
17:16:41,0
17:17:31,1
17:17:31,0
17:20:38,1
17:20:38,0
17:21:27,1
17:21:27,0
17:23:05,1
17:23:05,0
17:24:40,1
17:24:40,0
17:27:02,1
17:27:02,2
17:27:02,1
17:27:02,0
17:27:12,1
17:27:12,0
17:29:34,1
17:29:34,0
17:33:24,1
17:33:24,0
17:34:40,1
17:34:40,0
17:34:58,1
17:34:58,0
17:36:01,1
17:36:01,0
17:36:05,1
17:36:05,0
17:38:22,1
17:38:22,0
17:40:52,1
17:40:52,0
17:42:42,1
17:42:42,0
17:43:30,1
17:43:30,0
17:45:17,1
17:45:17,0
17:46:51,1
17:46:51,0
17:48:32,1
17:48:32,0
17:50:32,1
17:50:32,0
17:51:52,1
17:51:52,0
17:52:26,1
17:52:26,0
17:55:15,1
17:55:15,0
17:57:39,1
17:57:39,0
18:03:40,1
18:03:40,0
18:05:18,1
18:05:18,0
18:14:51,1
18:14:51,0
18:19:12,1
18:19:12,0
18:20:56,1
18:20:56,0
18:29:56,1
18:29:56,0
18:32:51,1
18:32:51,0
18:40:13,1
18:40:13,0
