group_id,service_time
7,00:02:47
19,00:02:10
20,00:03:10
23,00:02:02
28,00:04:30
30,00:01:59
36,00:02:52
38,00:03:15
50,00:03:10
51,00:01:16
60,00:02:23
75,00:02:19
79,00:04:15
92,00:03:44
105,00:01:37
106,00:01:27
116,00:11:59
119,00:07:06
140,00:00:57
142,00:03:39
147,00:04:02
150,00:01:33
157,00:02:00
162,00:01:46
164,00:02:23
171,00:00:45
176,00:01:15
177,00:07:11
183,00:02:31
187,00:02:07
190,00:12:56
193,00:02:17
223,00:02:29
234,00:00:51
252,00:02:25
260,00:03:43
273,00:02:14
278,00:04:34
289,00:03:51
303,00:05:28
309,00:01:16
317,00:01:36
328,00:08:05
352,00:01:53
