config_profile,num_human,num_kiosk,cost,benefit,profit_percentage,net_profit,customers_served,customers_not_served,human_station_cost,kiosk_station_cost,max_queue_capacity,max_queue_length_reached,avg_queue_length,avg_wait_time_sec,max_wait_time_sec
config_1,1,0,343.0,58200.0,0.2,11297.0,388,626,343.0,0.0,5,5,4.01,780.17,1420
config_2,1,0,343.0,45750.0,0.2,8807.0,305,715,343.0,0.0,5,5,4.04,811.95,1315
config_3,1,0,343.0,74550.0,0.2,14567.0,497,521,343.0,0.0,5,5,3.75,785.05,1478
config_4,1,0,343.0,84600.0,0.2,16577.0,564,453,343.0,0.0,5,5,3.27,690.37,1379
config_5,1,0,343.0,65250.0,0.2,12707.0,435,573,343.0,0.0,5,5,3.89,764.1,1358
config_1,1,1,376.0,94200.0,0.2,18464.0,628,389,343.0,33.0,10,10,7.07,832.93,1674
config_2,1,1,376.0,79050.0,0.2,15434.0,527,496,343.0,33.0,10,10,7.89,865.61,1591
config_3,1,1,376.0,126900.0,0.2,25004.0,846,185,343.0,33.0,10,10,4.28,536.03,1313
config_4,1,1,376.0,134550.0,0.2,26534.0,897,122,343.0,33.0,10,10,4.45,542.15,1686
config_5,1,1,376.0,104700.0,0.2,20564.0,698,319,343.0,33.0,10,10,6.38,714.56,1435
config_1,1,2,409.0,133200.0,0.2,26231.0,888,133,343.0,66.0,15,15,7.97,674.27,1651
config_2,1,2,409.0,106350.0,0.2,20861.0,709,316,343.0,66.0,15,15,10.45,825.54,1744
config_3,1,2,409.0,146400.0,0.2,28871.0,976,56,343.0,66.0,15,15,3.76,401.15,1754
config_4,1,2,409.0,147300.0,0.2,29051.0,982,46,343.0,66.0,15,15,4.17,429.38,1612
config_5,1,2,409.0,138150.0,0.2,27221.0,921,92,343.0,66.0,15,15,5.25,459.97,1493
config_1,1,3,442.0,144750.0,0.2,28508.0,965,61,343.0,99.0,20,20,5.25,415.02,1972
config_2,1,3,442.0,135300.0,0.2,26618.0,902,123,343.0,99.0,20,20,6.78,447.75,1440
config_3,1,3,442.0,153900.0,0.2,30338.0,1026,0,343.0,99.0,20,12,2.23,272.53,1071
config_4,1,3,442.0,152850.0,0.2,30128.0,1019,0,343.0,99.0,20,14,1.82,244.16,1009
config_5,1,3,442.0,148200.0,0.2,29198.0,988,25,343.0,99.0,20,20,4.89,381.8,1270
config_1,2,0,686.0,108900.0,0.2,21094.0,726,304,686.0,0.0,10,10,6.46,659.5,1208
config_2,2,0,686.0,87900.0,0.2,16894.0,586,439,686.0,0.0,10,10,7.54,749.4,1330
config_3,2,0,686.0,134100.0,0.2,26134.0,894,138,686.0,0.0,10,10,3.94,461.86,1276
config_4,2,0,686.0,136950.0,0.2,26704.0,913,107,686.0,0.0,10,10,4.17,469.74,1212
config_5,2,0,686.0,117150.0,0.2,22744.0,781,237,686.0,0.0,10,10,6.15,620.93,1356
config_1,2,1,719.0,133650.0,0.2,26011.0,891,129,686.0,33.0,15,15,6.64,522.38,1337
config_2,2,1,719.0,117600.0,0.2,22801.0,784,236,686.0,33.0,15,15,8.93,661.33,1425
config_3,2,1,719.0,148950.0,0.2,29071.0,993,25,686.0,33.0,15,15,3.35,336.42,1122
config_4,2,1,719.0,151650.0,0.2,29611.0,1011,0,686.0,33.0,15,13,2.38,277.41,823
config_5,2,1,719.0,142650.0,0.2,27811.0,951,78,686.0,33.0,15,15,5.03,434.67,1322
config_1,2,2,752.0,145650.0,0.2,28378.0,971,46,686.0,66.0,20,20,4.82,381.12,1299
config_2,2,2,752.0,136650.0,0.2,26578.0,911,111,686.0,66.0,20,20,7.87,497.77,1367
config_3,2,2,752.0,151800.0,0.2,29608.0,1012,0,686.0,66.0,20,9,1.13,194.2,760
config_4,2,2,752.0,152250.0,0.2,29698.0,1015,0,686.0,66.0,20,10,1.01,194.59,832
config_5,2,2,752.0,149400.0,0.2,29128.0,996,26,686.0,66.0,20,20,4.46,367.66,1266
config_1,2,3,785.0,152100.0,0.2,29635.0,1014,8,686.0,99.0,25,25,5.06,350.03,1608
config_2,2,3,785.0,144900.0,0.2,28195.0,966,61,686.0,99.0,25,25,6.78,422.31,1499
config_3,2,3,785.0,152850.0,0.2,29785.0,1019,0,686.0,99.0,25,10,1.15,205.31,852
config_4,2,3,785.0,153600.0,0.2,29935.0,1024,0,686.0,99.0,25,5,0.63,176.82,907
config_5,2,3,785.0,153150.0,0.2,29845.0,1021,0,686.0,99.0,25,19,2.47,250.17,965
