customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
0,1,10:02:17,00:00:00,00:00:00,00:00:00
1,3,10:29:12,00:00:00,00:00:00,00:00:00
3,1,10:32:53,00:00:00,00:00:00,00:00:00
2,1,10:32:59,00:00:00,00:00:00,00:00:00
4,1,10:40:39,00:00:00,00:00:00,00:00:00
5,2,10:46:56,00:00:00,00:00:00,00:00:00
9,1,10:50:39,00:00:00,00:00:00,00:00:00
8,3,10:55:07,00:00:00,00:00:00,00:00:00
7,1,10:55:16,00:00:00,00:00:00,00:00:00
6,1,10:57:59,00:00:00,00:00:00,00:00:00
10,2,10:59:47,00:00:00,00:00:00,00:00:00
16,2,11:00:15,00:00:00,00:00:00,00:00:00
22,2,11:00:22,00:00:00,00:00:00,00:00:00
23,2,11:02:36,00:00:00,00:00:00,00:00:00
18,1,11:02:40,00:00:00,00:00:00,00:00:00
20,2,11:03:25,00:00:00,00:00:00,00:00:00
13,1,11:04:29,00:00:00,00:00:00,00:00:00
15,2,11:05:15,00:00:00,00:00:00,00:00:00
12,1,11:05:39,00:00:00,00:00:00,00:00:00
19,1,11:07:31,00:00:00,00:00:00,00:00:00
21,1,11:07:45,00:00:00,00:00:00,00:00:00
17,1,11:08:54,00:00:00,00:00:00,00:00:00
14,2,11:09:31,00:00:00,00:00:00,00:00:00
11,2,11:09:37,00:00:00,00:00:00,00:00:00
31,1,11:10:08,00:00:00,00:00:00,00:00:00
37,1,11:10:29,00:00:00,00:00:00,00:00:00
30,1,11:10:44,00:00:00,00:00:00,00:00:00
39,1,11:10:56,00:00:00,00:00:00,00:00:00
38,2,11:11:06,00:00:00,00:00:00,00:00:00
32,1,11:11:08,00:00:00,00:00:00,00:00:00
34,1,11:11:21,00:00:00,00:00:00,00:00:00
27,1,11:12:04,00:00:00,00:00:00,00:00:00
40,2,11:13:19,00:00:00,00:00:00,00:00:00
29,1,11:13:41,00:00:00,00:00:00,00:00:00
25,1,11:13:45,00:00:00,00:00:00,00:00:00
35,1,11:13:58,00:00:00,00:00:00,00:00:00
44,2,11:15:22,00:00:00,00:00:00,00:00:00
43,2,11:15:56,00:00:00,00:00:00,00:00:00
