time_slot,total_customer_groups,total_customers
10:00:00 - 10:10:00,1,2
10:20:00 - 10:30:00,1,3
10:30:00 - 10:40:00,1,4
10:40:00 - 10:50:00,1,3
10:50:00 - 11:00:00,3,10
11:00:00 - 11:10:00,7,21
11:10:00 - 11:20:00,8,27
11:20:00 - 11:30:00,12,33
11:30:00 - 11:40:00,11,37
11:40:00 - 11:50:00,13,31
11:50:00 - 12:00:00,8,24
12:00:00 - 12:10:00,5,15
12:10:00 - 12:20:00,4,11
12:20:00 - 12:30:00,4,14
12:30:00 - 12:40:00,5,18
12:40:00 - 12:50:00,8,23
12:50:00 - 13:00:00,12,30
13:00:00 - 13:10:00,11,38
13:10:00 - 13:20:00,12,37
13:20:00 - 13:30:00,16,52
13:30:00 - 13:40:00,14,46
13:40:00 - 13:50:00,16,41
14:10:00 - 14:20:00,5,13
14:20:00 - 14:30:00,4,11
14:30:00 - 14:40:00,2,9
14:40:00 - 14:50:00,2,6
14:50:00 - 15:00:00,4,11
15:00:00 - 15:10:00,3,11
15:10:00 - 15:20:00,6,17
15:20:00 - 15:30:00,7,22
15:30:00 - 15:40:00,6,22
15:40:00 - 15:50:00,6,20
15:50:00 - 16:00:00,7,23
16:00:00 - 16:10:00,7,23
16:10:00 - 16:20:00,5,18
16:40:00 - 16:50:00,6,16
16:50:00 - 17:00:00,5,16
17:00:00 - 17:10:00,6,21
17:10:00 - 17:20:00,6,21
17:20:00 - 17:30:00,8,22
17:30:00 - 17:40:00,8,25
17:40:00 - 17:50:00,6,19
17:50:00 - 18:00:00,8,15
18:00:00 - 18:10:00,2,10
18:10:00 - 18:20:00,4,10
18:20:00 - 18:30:00,2,6
18:30:00 - 18:40:00,2,8
18:40:00 - 18:50:00,1,3
18:50:00 - 19:00:00,1,1
