time_band,group_id,size
10:00 - 10:10,1,1
10:40 - 10:50,2,4
10:50 - 11:00,3,3
10:50 - 11:00,4,3
10:50 - 11:00,5,5
11:00 - 11:10,6,2
11:00 - 11:10,7,2
11:00 - 11:10,8,3
11:00 - 11:10,9,1
11:00 - 11:10,10,2
11:00 - 11:10,11,1
11:00 - 11:10,12,2
11:00 - 11:10,13,1
11:00 - 11:10,14,2
11:00 - 11:10,15,1
11:00 - 11:10,16,3
11:10 - 11:20,17,2
11:10 - 11:20,18,2
11:10 - 11:20,19,2
11:10 - 11:20,20,2
11:10 - 11:20,21,2
11:10 - 11:20,22,3
11:10 - 11:20,23,3
11:10 - 11:20,24,3
11:10 - 11:20,25,2
11:10 - 11:20,26,2
11:10 - 11:20,27,1
11:10 - 11:20,28,2
11:10 - 11:20,29,2
11:20 - 11:30,30,2
11:20 - 11:30,31,3
11:20 - 11:30,32,1
11:20 - 11:30,33,3
11:20 - 11:30,34,2
11:20 - 11:30,35,1
11:20 - 11:30,36,1
11:20 - 11:30,37,2
11:20 - 11:30,38,2
11:20 - 11:30,39,1
11:20 - 11:30,40,2
11:20 - 11:30,41,2
11:20 - 11:30,42,2
11:20 - 11:30,43,2
11:20 - 11:30,44,2
11:20 - 11:30,45,1
11:20 - 11:30,46,1
11:20 - 11:30,47,3
11:20 - 11:30,48,1
11:30 - 11:40,49,1
11:30 - 11:40,50,1
11:30 - 11:40,51,1
11:30 - 11:40,52,1
11:30 - 11:40,53,1
11:30 - 11:40,54,3
11:30 - 11:40,55,1
11:30 - 11:40,56,4
11:30 - 11:40,57,2
11:30 - 11:40,58,2
11:30 - 11:40,59,4
11:30 - 11:40,60,2
11:30 - 11:40,61,1
11:30 - 11:40,62,2
11:30 - 11:40,63,1
11:30 - 11:40,64,2
11:30 - 11:40,65,1
11:30 - 11:40,66,4
11:30 - 11:40,67,2
11:30 - 11:40,68,3
11:30 - 11:40,69,1
11:40 - 11:50,70,3
11:40 - 11:50,71,1
11:40 - 11:50,72,2
11:40 - 11:50,73,2
11:40 - 11:50,74,3
11:40 - 11:50,75,1
11:40 - 11:50,76,2
11:40 - 11:50,77,2
11:40 - 11:50,78,3
11:40 - 11:50,79,1
11:40 - 11:50,80,4
11:40 - 11:50,81,2
11:40 - 11:50,82,1
11:40 - 11:50,83,2
11:40 - 11:50,84,1
11:40 - 11:50,85,5
11:50 - 12:00,86,2
11:50 - 12:00,87,2
11:50 - 12:00,88,3
11:50 - 12:00,89,4
11:50 - 12:00,90,2
11:50 - 12:00,91,1
11:50 - 12:00,92,1
11:50 - 12:00,93,1
11:50 - 12:00,94,4
11:50 - 12:00,95,3
11:50 - 12:00,96,2
11:50 - 12:00,97,1
