arrival_time,wait_time
10:34:21,00:02:30
10:45:11,00:01:28
10:45:52,00:08:05
10:53:53,00:03:05
10:58:39,00:03:09
10:59:50,00:04:50
11:00:41,00:02:23
11:02:44,00:01:53
11:04:23,00:03:59
11:04:57,00:01:48
11:07:34,00:00:59
11:07:52,00:02:48
11:08:19,00:02:26
11:09:05,00:05:53
11:10:22,00:01:54
11:14:12,00:01:50
11:14:14,00:02:31
11:16:14,00:01:27
11:16:15,00:03:04
11:16:15,00:04:03
11:16:15,00:06:10
11:16:51,00:05:26
11:16:54,00:06:16
11:18:54,00:05:51
11:21:34,00:03:20
11:21:44,00:04:57
11:22:08,00:07:20
11:24:29,00:05:50
11:24:39,00:06:48
11:24:57,00:06:15
11:28:04,00:07:02
11:28:12,00:05:00
11:28:43,00:07:09
11:29:20,00:09:43
11:29:35,00:10:48
11:29:49,00:11:33
11:30:14,00:11:41
11:30:19,00:13:41
11:30:24,00:14:20
11:32:45,00:17:53
11:33:03,00:16:23
11:34:39,00:16:47
11:35:09,00:18:15
11:36:34,00:15:43
11:36:38,00:17:08
11:38:30,N/A
11:39:28,00:25:25
11:39:32,N/A
11:39:34,N/A
11:40:52,00:15:28
11:42:46,00:15:49
11:43:06,00:20:18
11:43:14,N/A
11:45:24,00:19:19
11:45:35,00:21:18
11:46:09,N/A
11:46:25,N/A
11:46:52,N/A
11:47:13,N/A
11:48:23,N/A
11:48:56,N/A
11:52:59,00:12:32
11:53:29,00:13:30
11:54:23,00:15:41
11:56:07,00:15:59
11:57:02,00:14:43
11:57:17,00:15:34
11:58:47,00:19:49
12:00:49,00:16:15
12:00:53,N/A
12:03:38,00:15:43
12:04:34,N/A
12:09:04,00:12:08
12:09:06,00:13:19
12:10:30,00:16:42
12:12:27,00:11:26
12:15:02,00:09:56
12:15:38,00:10:21
12:19:25,00:11:15
12:21:30,00:10:33
12:22:38,00:08:37
12:26:33,00:06:16
12:29:09,00:04:07
12:29:13,00:05:29
12:29:13,00:06:16
12:32:58,00:06:35
12:33:14,00:04:03
12:34:13,00:08:03
12:35:03,00:10:28
12:36:10,00:14:29
12:36:41,00:14:12
12:40:49,00:12:18
12:41:19,00:11:05
12:41:46,00:15:06
12:43:47,00:12:00
12:44:43,00:15:20
12:44:46,00:13:16
12:45:57,00:14:44
12:47:14,00:13:39
12:50:07,00:13:55
12:50:13,00:12:52
12:51:11,00:13:26
12:51:25,00:22:52
12:51:58,N/A
12:52:16,N/A
12:53:17,00:13:25
12:53:29,00:14:45
12:53:54,N/A
12:55:27,N/A
12:56:11,00:14:25
12:56:56,00:15:04
13:00:05,00:15:09
13:00:09,00:18:21
13:01:08,00:16:38
13:01:10,00:18:27
13:02:33,N/A
13:04:07,00:18:38
13:05:56,00:15:22
13:05:59,00:17:10
13:07:20,00:16:47
13:07:25,N/A
13:07:43,N/A
13:07:48,N/A
13:09:21,00:15:03
13:09:33,N/A
13:09:58,N/A
13:10:41,00:14:12
13:10:49,N/A
13:11:20,N/A
13:11:57,N/A
13:13:00,00:14:53
13:13:15,N/A
13:14:20,00:12:53
13:14:27,N/A
13:15:20,00:14:29
13:15:34,N/A
13:15:47,N/A
