time,length
00:00:00,0
10:41:10,1
10:41:10,0
10:55:12,1
10:55:12,0
10:56:32,1
10:56:32,0
11:00:42,1
11:00:42,0
11:01:12,1
11:01:12,0
11:04:19,1
11:04:19,0
11:06:59,1
11:06:59,0
11:07:00,1
11:07:04,2
11:07:31,1
11:09:07,0
11:10:02,1
11:10:10,0
11:12:04,1
11:12:04,0
11:13:39,1
11:13:39,0
11:14:35,1
11:14:35,0
11:17:34,1
11:17:34,0
11:17:56,1
11:17:56,0
11:18:11,1
11:18:13,2
11:18:15,3
11:19:45,4
11:20:12,3
11:20:23,4
11:21:02,5
11:21:09,6
11:21:46,7
11:22:33,8
11:23:25,9
11:23:47,8
11:25:59,7
11:27:03,8
11:27:16,9
11:28:11,8
11:28:12,7
11:29:05,8
11:29:31,9
11:29:52,10
11:31:34,9
11:31:42,10
11:31:54,9
11:32:55,10
11:33:31,9
11:34:02,10
11:34:46,9
11:35:21,8
11:35:34,9
11:37:37,10
11:38:45,9
11:38:47,8
11:39:19,9
11:39:34,10
11:41:03,9
11:41:19,10
11:42:50,9
11:43:52,10
11:43:55,9
11:44:23,8
11:45:21,9
11:45:31,10
11:46:14,9
11:46:22,10
11:49:06,9
11:49:34,10
11:50:13,9
11:51:03,10
11:51:26,9
11:51:43,10
11:51:45,9
11:52:21,8
11:53:49,7
11:54:10,6
11:54:38,5
11:55:05,6
11:55:27,5
11:55:46,6
11:56:31,5
11:57:01,6
11:57:18,5
11:57:28,6
11:58:28,5
11:58:48,6
12:01:26,5
12:01:27,6
12:01:52,5
12:02:20,6
12:04:08,5
12:04:24,4
12:06:23,3
12:06:33,2
12:08:03,3
12:08:34,2
12:08:44,1
12:09:20,0
12:11:07,1
12:11:07,0
12:13:06,1
12:14:34,2
12:15:02,3
12:15:04,2
12:15:11,1
12:16:32,0
12:20:57,1
12:20:57,0
12:23:22,1
12:23:22,0
12:25:51,1
12:25:51,0
12:26:53,1
12:27:14,2
12:29:35,1
12:30:53,0
12:31:57,1
12:32:43,2
12:33:54,3
12:34:42,4
12:34:50,3
12:36:01,2
12:36:17,1
12:38:20,0
12:39:29,1
12:39:29,0
12:41:19,1
12:41:19,0
12:42:43,1
12:42:43,0
12:44:19,1
12:44:19,0
12:44:32,1
12:44:32,0
12:44:43,1
12:45:02,2
12:45:23,1
12:45:24,2
12:47:30,1
12:48:12,2
12:48:19,3
12:49:11,2
12:49:20,1
12:50:37,2
12:51:36,1
12:51:52,2
12:51:54,1
12:53:21,0
12:54:33,1
12:54:33,0
12:55:28,1
12:55:28,0
12:56:01,1
12:57:48,0
12:57:50,1
12:59:03,0
12:59:29,1
13:00:28,2
13:00:41,3
13:00:42,4
13:00:57,3
13:01:03,4
13:02:12,5
13:03:25,6
13:04:33,5
13:04:43,4
13:04:45,5
13:04:57,6
13:05:40,5
13:06:08,6
13:07:10,5
13:07:52,6
13:08:39,5
13:09:10,4
13:09:16,5
13:09:28,6
13:10:45,7
13:11:19,6
13:12:05,5
13:13:01,6
13:13:41,7
13:14:01,8
13:14:10,9
13:14:20,10
13:14:49,9
13:15:24,10
13:16:16,9
13:16:20,10
13:17:49,9
13:18:39,8
13:19:03,9
13:19:25,10
13:20:59,9
13:21:33,8
13:21:35,9
13:21:55,10
13:23:49,9
13:23:58,10
13:25:59,9
13:27:03,8
13:27:08,9
