time_band,no_of_people,no_of_groups
10:30 - 10:40,3,1
10:40 - 10:50,5,2
10:50 - 11:00,8,3
11:00 - 11:10,20,8
11:10 - 11:20,30,12
11:20 - 11:30,34,11
11:30 - 11:40,40,12
11:40 - 11:50,33,12
11:50 - 12:00,28,11
12:00 - 12:10,13,4
12:10 - 12:20,13,4
12:20 - 12:30,16,6
12:30 - 12:40,19,7
12:40 - 12:50,24,8
12:50 - 13:00,29,9
13:00 - 13:10,40,14
13:10 - 13:20,40,14
13:20 - 13:30,52,17
13:30 - 13:40,43,13
13:40 - 13:50,41,12
13:50 - 14:00,31,11
14:00 - 14:10,23,8
14:10 - 14:20,13,4
14:20 - 14:30,11,5
14:30 - 14:40,7,3
14:40 - 14:50,7,2
14:50 - 15:00,12,5
15:00 - 15:10,12,4
15:10 - 15:20,16,7
15:20 - 15:30,22,7
15:30 - 15:40,23,9
15:40 - 15:50,26,8
15:50 - 16:00,24,9
16:00 - 16:10,26,10
16:10 - 16:20,22,7
16:20 - 16:30,20,7
16:30 - 16:40,17,6
16:40 - 16:50,16,5
16:50 - 17:00,15,4
17:00 - 17:10,22,8
17:10 - 17:20,17,7
17:20 - 17:30,24,6
17:30 - 17:40,21,6
17:40 - 17:50,22,8
17:50 - 18:00,15,6
18:00 - 18:10,10,4
18:10 - 18:20,10,4
18:20 - 18:30,4,1
18:30 - 18:40,3,1
18:40 - 18:50,3,1
