group_id,service_time
1,00:01:49
2,00:01:35
3,00:02:00
6,00:01:44
7,00:03:37
11,00:02:29
18,00:03:29
19,00:02:03
21,00:02:46
22,00:02:25
25,00:04:09
30,00:03:45
34,00:01:15
37,00:03:26
42,00:01:42
43,00:00:40
44,00:00:57
45,00:01:08
46,00:03:40
48,00:05:30
52,00:03:16
55,00:00:59
56,00:01:21
57,00:02:26
61,00:01:56
62,00:03:37
65,00:02:41
71,00:04:29
73,00:04:39
76,00:03:00
78,00:02:09
82,00:03:46
85,00:00:58
86,00:02:25
87,00:02:29
88,00:05:20
94,00:02:07
99,00:02:30
100,00:01:29
101,00:03:06
103,00:06:49
106,00:03:48
109,00:02:15
112,00:02:23
117,00:02:44
122,00:01:57
123,00:01:30
128,00:04:01
129,00:04:02
134,00:02:08
135,00:01:34
137,00:03:26
140,00:02:08
143,00:01:12
144,00:02:32
145,00:02:32
146,00:02:53
148,00:01:40
149,00:02:11
155,00:01:34
157,00:01:07
160,00:01:07
161,00:01:45
168,00:02:28
169,00:01:23
173,00:02:15
174,00:03:15
178,00:02:50
183,00:02:48
188,00:01:05
189,00:01:38
196,00:02:12
197,00:02:46
199,00:03:40
200,00:02:31
202,00:03:20
205,00:02:01
207,00:03:33
209,00:01:02
210,00:04:18
212,00:03:03
213,00:03:00
214,00:01:54
215,00:00:58
221,00:02:16
222,00:02:54
223,00:01:34
226,00:02:29
229,00:04:37
231,00:04:27
235,00:03:34
238,00:00:52
239,00:01:37
243,00:01:44
245,00:02:00
247,00:01:35
248,00:01:19
250,00:02:17
253,00:04:16
256,00:01:38
258,00:02:01
259,00:01:14
262,00:03:39
263,00:01:21
265,00:01:54
266,00:02:15
269,00:02:47
270,00:02:02
273,00:04:11
276,00:02:41
278,00:01:35
282,00:02:42
283,00:02:46
284,00:01:02
286,00:02:18
290,00:00:52
291,00:03:50
292,00:03:00
294,00:01:32
295,00:02:51
298,00:01:58
299,00:02:15
300,00:02:05
304,00:09:22
310,00:01:06
315,00:01:45
316,00:02:21
319,00:07:10
321,00:02:13
323,00:04:28
328,00:02:10
329,00:03:05
330,00:01:33
331,00:03:18
332,00:01:40
339,00:03:10
340,00:05:12
343,00:03:39
344,00:01:49
346,00:01:30
347,00:01:12
350,00:04:18
351,00:02:51
352,00:02:23
353,00:03:15
