arrival_time,in_queue_time
10:39:59,00:00:00
10:42:21,00:00:00
10:52:59,00:00:00
10:53:22,00:00:00
10:58:47,00:00:00
11:00:36,00:00:00
11:02:42,00:00:00
11:06:09,00:00:00
11:07:29,00:00:00
11:09:13,00:00:00
11:12:15,00:00:00
11:14:47,00:00:00
11:15:17,00:00:00
11:16:04,00:00:00
11:17:49,00:00:00
11:17:51,00:00:00
11:17:54,00:02:11
11:18:50,00:01:42
11:20:28,00:03:21
11:21:27,00:03:12
11:22:04,00:02:38
11:22:29,00:03:20
11:24:33,00:02:03
11:26:18,00:01:31
11:26:46,00:02:21
11:26:57,00:03:48
11:27:08,00:04:21
11:28:04,00:04:14
11:30:32,00:02:34
11:31:36,00:03:56
11:32:22,00:03:12
11:33:11,00:03:23
11:33:13,00:04:00
11:33:19,00:04:08
11:33:55,00:04:00
11:35:51,00:05:15
11:36:29,00:04:48
11:37:12,00:04:10
11:38:20,00:06:04
11:38:26,00:06:17
11:39:12,00:06:51
11:39:21,00:07:12
11:40:24,00:07:32
11:40:33,00:08:13
11:41:38,00:08:33
11:43:08,00:08:07
11:44:58,00:06:44
11:45:38,00:06:20
11:46:24,00:05:35
11:47:09,00:07:18
11:48:45,00:07:13
11:49:23,00:07:05
11:49:56,00:08:24
11:50:29,00:08:47
11:51:50,00:09:09
11:52:09,00:09:43
11:52:17,00:11:10
11:54:20,00:10:41
11:55:23,00:11:05
11:55:48,00:10:57
11:56:53,00:14:14
11:58:36,00:13:16
11:58:42,00:13:43
12:00:02,00:14:00
12:02:49,00:13:04
12:07:06,00:08:59
12:08:15,00:09:39
12:11:29,00:07:21
12:13:57,00:04:55
12:16:50,00:02:32
12:19:43,00:00:18
12:22:09,00:00:00
12:24:11,00:00:00
12:26:02,00:00:00
12:26:39,00:00:00
12:29:19,00:00:00
12:30:32,00:00:00
12:37:38,00:00:00
12:37:41,00:00:00
12:38:23,00:00:00
12:38:24,00:00:43
12:39:12,00:00:19
12:40:07,00:00:36
12:42:38,00:00:00
12:43:16,00:00:00
12:44:40,00:00:00
12:48:23,00:00:00
12:49:22,00:00:00
12:49:24,00:00:00
12:50:29,00:00:00
12:51:22,00:00:00
12:53:54,00:00:00
12:54:05,00:00:00
12:55:15,00:00:23
12:55:40,00:02:30
12:56:45,00:02:04
12:59:07,00:01:34
13:00:15,00:02:48
13:00:42,00:02:32
13:02:08,00:01:16
13:02:26,00:02:46
13:03:26,00:01:46
13:03:51,00:03:04
13:04:21,00:03:53
13:05:06,00:03:09
13:06:30,00:04:09
13:06:49,00:03:58
13:08:03,00:04:25
13:09:17,00:03:57
13:09:55,00:05:01
13:10:43,00:04:22
13:11:35,00:04:37
13:12:37,00:04:39
13:12:40,00:04:42
13:13:52,00:04:07
13:14:01,00:07:35
13:14:24,00:07:59
13:15:07,00:09:00
13:17:57,00:06:49
13:18:01,00:08:07
13:18:09,00:08:29
13:18:09,00:10:18
13:20:31,00:09:23
13:20:39,00:09:30
13:21:01,00:10:48
