group_id,service_time
7,00:02:57
8,00:05:15
13,00:02:52
16,00:03:00
18,00:01:09
19,00:02:59
21,00:03:29
29,00:04:06
31,00:01:56
35,00:01:22
38,00:03:36
41,00:02:53
44,00:02:20
50,00:03:42
52,00:03:59
53,00:02:13
55,00:03:01
56,00:03:51
71,00:01:18
76,00:08:40
101,00:04:19
111,00:07:13
118,00:02:41
124,00:02:06
126,00:01:16
135,00:04:21
138,00:02:56
140,00:02:41
143,00:04:08
149,00:01:14
156,00:03:23
159,00:04:27
164,00:03:30
168,00:03:51
169,00:04:52
171,00:01:29
174,00:03:46
179,00:02:49
188,00:10:52
190,00:01:19
198,00:06:27
201,00:01:49
210,00:01:59
211,00:02:54
216,00:02:32
225,00:07:28
277,00:06:27
282,00:02:44
286,00:02:33
304,00:03:14
305,00:06:55
314,00:03:34
327,00:06:27
329,00:03:01
340,00:03:13
342,00:05:41
351,00:01:24
357,00:01:10
359,00:05:45
366,00:01:55
369,00:02:30
373,00:01:29
374,00:01:46
376,00:02:00
377,00:01:16
379,00:01:25
381,00:07:40
394,00:03:12
395,00:07:00
402,00:05:55
404,00:03:59
410,00:03:52
416,00:02:56
423,00:02:05
424,00:03:25
426,00:03:19
436,00:03:54
439,00:04:19
440,00:02:17
443,00:02:55
445,00:03:39
453,00:01:01
454,00:03:12
460,00:03:19
464,00:03:30
470,00:04:34
475,00:01:59
477,00:03:17
478,00:00:45
482,00:01:24
485,00:04:49
487,00:01:28
493,00:08:59
495,00:05:24
502,00:01:40
512,00:02:05
513,00:03:09
518,00:03:31
520,00:06:54
523,00:03:59
530,00:01:54
535,00:03:12
545,00:02:32
546,00:02:30
555,00:05:27
557,00:02:19
560,00:05:55
561,00:06:34
566,00:05:07
574,00:01:34
575,00:02:18
581,00:01:46
588,00:02:02
596,00:02:12
598,00:04:51
599,00:01:07
603,00:01:56
607,00:04:24
610,00:02:47
612,00:06:23
621,00:02:09
625,00:08:18
630,00:02:35
634,00:00:49
639,00:05:24
641,00:08:38
646,00:05:05
