group_id,size,status,time_band,arrival_time,in_queue_time,service_start_time,service_time,wait_time,served_by
1,1,Served,10:00 - 10:10,10:05:34,00:00:00,10:05:34,00:01:27,00:01:27,h1
2,1,Served,10:30 - 10:40,10:33:05,00:00:00,10:33:05,00:02:06,00:02:06,h1
3,1,Served,10:40 - 10:50,10:42:29,00:00:00,10:42:29,00:00:55,00:00:55,h2
4,5,Served,10:40 - 10:50,10:40:24,00:00:00,10:40:24,00:02:16,00:02:16,h1
5,2,Served,10:50 - 11:00,10:53:58,00:00:00,10:53:58,00:02:18,00:02:18,h1
6,3,Served,10:50 - 11:00,10:52:33,00:00:00,10:52:33,00:03:21,00:03:21,h2
7,2,Served,10:50 - 11:00,10:52:01,00:00:00,10:52:01,00:01:31,00:01:31,h1
8,3,Served,10:50 - 11:00,10:54:01,00:00:00,10:54:01,00:01:58,00:01:58,k1
9,2,Served,11:00 - 11:10,11:09:56,00:00:00,11:09:56,00:05:11,00:05:11,k1
10,2,Served,11:00 - 11:10,11:01:12,00:00:00,11:01:12,00:01:53,00:01:53,h1
11,1,Served,11:00 - 11:10,11:09:58,00:00:41,11:10:39,00:02:27,00:03:08,h1
12,2,Served,11:00 - 11:10,11:08:36,00:00:00,11:08:36,00:07:19,00:07:19,k3
13,2,Served,11:00 - 11:10,11:06:19,00:00:00,11:06:19,00:02:35,00:02:35,k1
14,2,Served,11:00 - 11:10,11:08:26,00:00:00,11:08:26,00:03:15,00:03:15,h2
15,2,Served,11:00 - 11:10,11:07:31,00:00:00,11:07:31,00:03:08,00:03:08,h1
16,2,Served,11:00 - 11:10,11:06:29,00:00:00,11:06:29,00:05:29,00:05:29,k2
17,3,Served,11:00 - 11:10,11:05:22,00:00:00,11:05:22,00:01:09,00:01:09,h2
18,2,Served,11:00 - 11:10,11:04:28,00:00:00,11:04:28,00:02:10,00:02:10,h1
19,2,Served,11:10 - 11:20,11:12:19,00:01:15,11:13:34,00:02:51,00:04:06,k2
20,1,Served,11:10 - 11:20,11:18:36,00:00:00,11:18:36,00:01:30,00:01:30,h1
21,2,Served,11:10 - 11:20,11:19:35,00:00:31,11:20:06,00:03:35,00:04:06,h1
22,2,Served,11:10 - 11:20,11:10:25,00:01:16,11:11:41,00:01:46,00:03:02,h2
23,2,Served,11:10 - 11:20,11:11:47,00:01:40,11:13:27,00:01:17,00:02:57,h2
24,5,Served,11:10 - 11:20,11:19:04,00:00:00,11:19:04,00:01:36,00:01:36,h2
25,3,Served,11:10 - 11:20,11:10:50,00:02:16,11:13:06,00:01:55,00:04:11,h1
26,1,Served,11:10 - 11:20,11:16:14,00:00:00,11:16:14,00:03:53,00:03:53,k1
27,3,Served,11:10 - 11:20,11:16:20,00:00:00,11:16:20,00:03:46,00:03:46,k3
28,2,Served,11:10 - 11:20,11:10:34,00:01:24,11:11:58,00:01:36,00:03:00,k2
29,1,Served,11:10 - 11:20,11:13:26,00:01:35,11:15:01,00:02:46,00:04:21,h1
30,2,Served,11:10 - 11:20,11:12:46,00:01:58,11:14:44,00:01:44,00:03:42,h2
31,2,Served,11:10 - 11:20,11:19:07,00:00:00,11:19:07,00:13:16,00:13:16,k2
32,2,Served,11:20 - 11:30,11:28:10,00:00:00,11:28:10,00:02:27,00:02:27,h1
33,3,Served,11:20 - 11:30,11:22:15,00:01:26,11:23:41,00:02:46,00:04:12,h1
34,2,Served,11:20 - 11:30,11:24:47,00:00:44,11:25:31,00:01:15,00:01:59,h2
35,1,Served,11:20 - 11:30,11:20:46,00:00:00,11:20:46,00:01:14,00:01:14,h2
36,3,Served,11:20 - 11:30,11:23:46,00:01:23,11:25:09,00:02:40,00:04:03,k3
37,2,Served,11:20 - 11:30,11:21:55,00:00:18,11:22:13,00:03:02,00:03:20,k1
38,3,Served,11:20 - 11:30,11:22:06,00:01:04,11:23:10,00:01:59,00:03:03,k3
39,3,Served,11:20 - 11:30,11:21:02,00:00:00,11:21:02,00:02:08,00:02:08,k3
40,3,Served,11:20 - 11:30,11:21:51,00:00:09,11:22:00,00:03:31,00:03:40,h2
41,2,Served,11:20 - 11:30,11:24:11,00:01:04,11:25:15,00:01:51,00:02:55,k1
42,3,Served,11:20 - 11:30,11:27:49,00:00:00,11:27:49,00:00:50,00:00:50,h2
43,1,Served,11:20 - 11:30,11:20:58,00:00:00,11:20:58,00:01:15,00:01:15,k1
44,2,Served,11:20 - 11:30,11:25:31,00:00:56,11:26:27,00:01:38,00:02:34,h1
45,2,Served,11:20 - 11:30,11:29:50,00:00:00,11:29:50,00:03:09,00:03:09,k1
46,2,Served,11:20 - 11:30,11:29:06,00:00:00,11:29:06,00:01:38,00:01:38,h2
47,2,Served,11:30 - 11:40,11:35:32,00:00:00,11:35:32,00:01:50,00:01:50,k1
48,5,Served,11:30 - 11:40,11:39:56,00:00:00,11:39:56,00:03:03,00:03:03,h2
49,2,Served,11:30 - 11:40,11:33:00,00:00:00,11:33:00,00:04:44,00:04:44,h2
50,5,Served,11:30 - 11:40,11:37:19,00:00:00,11:37:19,00:01:25,00:01:25,h1
51,5,Served,11:30 - 11:40,11:31:34,00:00:00,11:31:34,00:01:13,00:01:13,h2
52,2,Served,11:30 - 11:40,11:35:56,00:00:00,11:35:56,00:01:29,00:01:29,k2
53,2,Served,11:30 - 11:40,11:31:06,00:00:00,11:31:06,00:03:38,00:03:38,h1
54,5,Served,11:30 - 11:40,11:35:24,00:00:00,11:35:24,00:00:58,00:00:58,h1
55,2,Served,11:30 - 11:40,11:33:21,00:00:00,11:33:21,00:01:50,00:01:50,k1
56,2,Served,11:30 - 11:40,11:31:56,00:00:34,11:32:30,00:04:48,00:05:22,k3
57,2,Served,11:30 - 11:40,11:30:23,00:00:00,11:30:23,00:02:07,00:02:07,k3
58,2,Served,11:30 - 11:40,11:38:47,00:00:00,11:38:47,00:02:00,00:02:00,h1
59,3,Served,11:30 - 11:40,11:31:43,00:00:40,11:32:23,00:02:24,00:03:04,k2
60,3,Served,11:40 - 11:50,11:46:29,00:00:00,11:46:29,00:01:42,00:01:42,h1
61,3,Served,11:40 - 11:50,11:42:29,00:00:13,11:42:42,00:04:39,00:04:52,k2
62,2,Served,11:40 - 11:50,11:41:43,00:00:00,11:41:43,00:00:59,00:00:59,k2
63,2,Served,11:40 - 11:50,11:41:30,00:00:00,11:41:30,00:03:37,00:03:37,k1
64,4,Served,11:40 - 11:50,11:43:30,00:00:00,11:43:30,00:01:52,00:01:52,k3
65,2,Served,11:40 - 11:50,11:43:24,00:00:00,11:43:24,00:02:59,00:02:59,h2
66,2,Served,11:40 - 11:50,11:47:33,00:00:00,11:47:33,00:02:20,00:02:20,k1
67,3,Served,11:40 - 11:50,11:49:05,00:00:00,11:49:05,00:04:26,00:04:26,h2
68,1,Served,11:40 - 11:50,11:48:52,00:00:00,11:48:52,00:02:35,00:02:35,h1
69,2,Served,11:40 - 11:50,11:46:48,00:00:00,11:46:48,00:01:41,00:01:41,h2
70,5,Served,11:40 - 11:50,11:43:49,00:00:00,11:43:49,00:02:11,00:02:11,h1
71,2,Served,11:40 - 11:50,11:40:55,00:00:00,11:40:55,00:02:40,00:02:40,h1
72,2,Served,11:40 - 11:50,11:42:06,00:00:00,11:42:06,00:01:19,00:01:19,k3
73,2,Served,11:50 - 12:00,11:55:02,00:00:00,11:55:02,00:04:00,00:04:00,k1
74,2,Served,11:50 - 12:00,11:55:39,00:00:00,11:55:39,00:03:44,00:03:44,k3
75,1,Served,11:50 - 12:00,11:57:07,00:01:15,11:58:22,00:03:20,00:04:35,h1
76,2,Served,11:50 - 12:00,11:59:59,00:00:00,11:59:59,00:03:13,00:03:13,k3
77,2,Served,11:50 - 12:00,11:56:14,00:00:00,11:56:14,00:02:08,00:02:08,h1
78,2,Served,11:50 - 12:00,11:50:03,00:00:00,11:50:03,00:04:30,00:04:30,k1
79,2,Served,11:50 - 12:00,11:54:10,00:00:00,11:54:10,00:02:23,00:02:23,h2
80,2,Served,11:50 - 12:00,11:52:57,00:00:00,11:52:57,00:03:16,00:03:16,h1
81,2,Served,11:50 - 12:00,11:56:52,00:00:00,11:56:52,00:04:54,00:04:54,h2
82,2,Served,11:50 - 12:00,11:58:26,00:00:36,11:59:02,00:08:04,00:08:40,k1
83,5,Served,11:50 - 12:00,11:55:27,00:00:00,11:55:27,00:00:36,00:00:36,k2
84,2,Served,11:50 - 12:00,11:55:58,00:00:05,11:56:03,00:04:27,00:04:32,k2
85,1,Served,12:00 - 12:10,12:08:07,00:00:00,12:08:07,00:04:19,00:04:19,h1
86,2,Served,12:00 - 12:10,12:02:31,00:00:00,12:02:31,00:03:44,00:03:44,h2
87,2,Served,12:00 - 12:10,12:05:19,00:00:00,12:05:19,00:02:27,00:02:27,h1
88,3,Served,12:00 - 12:10,12:03:45,00:00:00,12:03:45,00:02:10,00:02:10,k3
89,3,Served,12:00 - 12:10,12:02:05,00:00:00,12:02:05,00:02:09,00:02:09,h1
90,2,Served,12:00 - 12:10,12:00:09,00:00:21,12:00:30,00:03:44,00:04:05,k2
91,1,Served,12:10 - 12:20,12:16:44,00:00:00,12:16:44,00:03:38,00:03:38,k2
92,2,Served,12:10 - 12:20,12:13:22,00:00:00,12:13:22,00:01:56,00:01:56,h1
93,2,Served,12:10 - 12:20,12:15:36,00:00:00,12:15:36,00:03:57,00:03:57,h1
94,2,Served,12:10 - 12:20,12:16:19,00:00:00,12:16:19,00:01:04,00:01:04,k1
95,2,Served,12:10 - 12:20,12:17:08,00:00:00,12:17:08,00:11:54,00:11:54,k3
96,5,Served,12:10 - 12:20,12:15:55,00:00:00,12:15:55,00:01:50,00:01:50,h2
97,1,Served,12:20 - 12:30,12:21:55,00:00:00,12:21:55,00:02:55,00:02:55,h2
98,2,Served,12:20 - 12:30,12:25:47,00:00:00,12:25:47,00:04:46,00:04:46,h1
99,3,Served,12:20 - 12:30,12:22:29,00:00:00,12:22:29,00:03:46,00:03:46,k1
100,3,Served,12:20 - 12:30,12:26:36,00:00:00,12:26:36,00:02:41,00:02:41,h2
101,2,Served,12:20 - 12:30,12:21:36,00:00:00,12:21:36,00:02:28,00:02:28,h1
102,1,Served,12:20 - 12:30,12:23:06,00:00:00,12:23:06,00:03:36,00:03:36,k2
103,3,Served,12:20 - 12:30,12:23:22,00:00:42,12:24:04,00:00:43,00:01:25,h1
104,2,Served,12:30 - 12:40,12:38:37,00:00:00,12:38:37,00:02:08,00:02:08,h1
105,4,Served,12:30 - 12:40,12:35:06,00:00:00,12:35:06,00:02:44,00:02:44,h1
106,2,Served,12:30 - 12:40,12:36:19,00:00:00,12:36:19,00:01:06,00:01:06,h2
107,2,Served,12:30 - 12:40,12:36:44,00:00:00,12:36:44,00:01:22,00:01:22,k1
108,3,Served,12:30 - 12:40,12:31:41,00:00:00,12:31:41,00:01:25,00:01:25,h1
109,2,Served,12:30 - 12:40,12:39:48,00:00:00,12:39:48,00:05:29,00:05:29,h2
110,2,Served,12:30 - 12:40,12:32:41,00:00:00,12:32:41,00:02:32,00:02:32,h2
111,2,Served,12:40 - 12:50,12:44:18,00:00:00,12:44:18,00:02:20,00:02:20,k1
112,1,Served,12:40 - 12:50,12:48:25,00:00:00,12:48:25,00:06:12,00:06:12,h1
113,3,Served,12:40 - 12:50,12:42:21,00:00:00,12:42:21,00:01:41,00:01:41,k2
114,3,Served,12:40 - 12:50,12:43:37,00:00:00,12:43:37,00:02:20,00:02:20,h1
115,5,Served,12:40 - 12:50,12:40:54,00:00:00,12:40:54,00:03:09,00:03:09,k1
116,2,Served,12:40 - 12:50,12:40:47,00:00:00,12:40:47,00:02:17,00:02:17,h1
117,1,Served,12:40 - 12:50,12:41:17,00:00:00,12:41:17,00:00:39,00:00:39,k2
118,3,Served,12:40 - 12:50,12:45:52,00:00:00,12:45:52,00:05:13,00:05:13,h2
119,1,Served,12:40 - 12:50,12:44:27,00:00:00,12:44:27,00:01:55,00:01:55,k2
120,3,Served,12:40 - 12:50,12:41:50,00:00:00,12:41:50,00:02:57,00:02:57,k3
121,2,Served,12:50 - 13:00,12:58:32,00:00:00,12:58:32,00:01:15,00:01:15,k3
122,1,Served,12:50 - 13:00,12:58:05,00:00:00,12:58:05,00:04:29,00:04:29,k2
123,3,Served,12:50 - 13:00,12:50:35,00:00:00,12:50:35,00:02:23,00:02:23,k2
124,1,Served,12:50 - 13:00,12:50:23,00:00:00,12:50:23,00:01:33,00:01:33,k1
125,2,Served,12:50 - 13:00,12:52:15,00:00:00,12:52:15,00:03:27,00:03:27,k1
126,2,Served,12:50 - 13:00,12:56:48,00:00:00,12:56:48,00:03:08,00:03:08,h2
127,1,Served,12:50 - 13:00,12:51:42,00:00:00,12:51:42,00:02:44,00:02:44,h2
128,5,Served,12:50 - 13:00,12:56:07,00:00:00,12:56:07,00:03:06,00:03:06,h1
129,2,Served,12:50 - 13:00,12:56:25,00:00:00,12:56:25,00:03:43,00:03:43,k1
130,2,Served,12:50 - 13:00,12:59:31,00:00:16,12:59:47,00:05:55,00:06:11,k3
131,2,Served,12:50 - 13:00,12:59:09,00:00:04,12:59:13,00:01:07,00:01:11,h1
132,4,Served,12:50 - 13:00,12:52:43,00:00:00,12:52:43,00:01:51,00:01:51,k3
133,2,Served,12:50 - 13:00,12:52:50,00:00:08,12:52:58,00:03:34,00:03:42,k2
134,1,Served,12:50 - 13:00,12:54:31,00:00:00,12:54:31,00:01:59,00:01:59,h2
135,4,Served,13:00 - 13:10,13:03:42,00:00:00,13:03:42,00:03:09,00:03:09,h2
136,2,Served,13:00 - 13:10,13:09:41,00:00:01,13:09:42,00:01:19,00:01:20,k2
137,2,Served,13:00 - 13:10,13:07:55,00:01:22,13:09:17,00:02:05,00:03:27,k1
138,1,Served,13:00 - 13:10,13:02:24,00:00:00,13:02:24,00:01:28,00:01:28,k1
139,3,Served,13:00 - 13:10,13:07:30,00:00:22,13:07:52,00:02:29,00:02:51,h1
140,2,Served,13:00 - 13:10,13:06:14,00:00:37,13:06:51,00:03:34,00:04:11,h2
141,2,Served,13:00 - 13:10,13:06:04,00:00:00,13:06:04,00:00:49,00:00:49,k1
142,2,Served,13:00 - 13:10,13:04:41,00:01:01,13:05:42,00:02:32,00:03:33,k3
143,2,Served,13:00 - 13:10,13:00:27,00:00:00,13:00:27,00:01:20,00:01:20,h1
144,3,Served,13:00 - 13:10,13:02:29,00:00:05,13:02:34,00:07:08,00:07:13,k2
145,2,Served,13:00 - 13:10,13:03:55,00:00:00,13:03:55,00:02:03,00:02:03,k1
146,2,Served,13:00 - 13:10,13:08:09,00:01:11,13:09:20,00:02:24,00:03:35,k3
147,3,Served,13:00 - 13:10,13:01:58,00:00:00,13:01:58,00:01:33,00:01:33,h2
148,3,Served,13:00 - 13:10,13:07:48,00:00:26,13:08:14,00:01:06,00:01:32,k3
149,2,Served,13:00 - 13:10,13:06:30,00:00:23,13:06:53,00:02:24,00:02:47,k1
150,3,Served,13:00 - 13:10,13:04:36,00:00:00,13:04:36,00:03:16,00:03:16,h1
151,4,Served,13:00 - 13:10,13:01:58,00:00:00,13:01:58,00:02:22,00:02:22,h1
152,2,Served,13:10 - 13:20,13:14:16,00:00:00,13:14:16,00:02:44,00:02:44,h2
153,2,Served,13:10 - 13:20,13:13:19,00:00:38,13:13:57,00:01:47,00:02:25,h1
154,2,Served,13:10 - 13:20,13:19:05,00:04:05,13:23:10,00:02:00,00:06:05,h2
155,2,Served,13:10 - 13:20,13:16:22,00:00:00,13:16:22,00:04:58,00:04:58,h1
