config_profile,num_human,num_kiosk,cost,benefit,profit_percentage,net_profit,customers_served,customers_not_served,human_station_cost,kiosk_station_cost,max_queue_capacity,max_queue_length_reached,avg_queue_length,avg_wait_time_sec,max_wait_time_sec
config_1,1,0,343.0,57450.0,0.2,11147.0,383,632,343.0,0.0,5,5,4.01,867.56,1580
config_2,1,0,343.0,46950.0,0.2,9047.0,313,712,343.0,0.0,5,5,4.04,815.42,1425
config_3,1,0,343.0,81600.0,0.2,15977.0,544,482,343.0,0.0,5,5,3.56,720.93,1485
config_4,1,0,343.0,83550.0,0.2,16367.0,557,459,343.0,0.0,5,5,3.43,711.87,1537
config_5,1,0,343.0,65550.0,0.2,12767.0,437,577,343.0,0.0,5,5,3.82,745.77,1443
config_1,1,1,376.0,98100.0,0.2,19244.0,654,357,343.0,33.0,10,10,6.94,814.16,1500
config_2,1,1,376.0,75450.0,0.2,14714.0,503,523,343.0,33.0,10,10,7.18,811.9,1694
config_3,1,1,376.0,127200.0,0.2,25064.0,848,173,343.0,33.0,10,10,4.6,580.27,1525
config_4,1,1,376.0,132900.0,0.2,26204.0,886,139,343.0,33.0,10,10,4.8,594.58,1319
config_5,1,1,376.0,103650.0,0.2,20354.0,691,327,343.0,33.0,10,10,6.78,762.7,1537
config_1,1,2,409.0,126450.0,0.2,24881.0,843,182,343.0,66.0,15,15,6.49,565.58,1541
config_2,1,2,409.0,105750.0,0.2,20741.0,705,318,343.0,66.0,15,15,10.71,815.03,1921
config_3,1,2,409.0,150750.0,0.2,29741.0,1005,20,343.0,66.0,15,15,3.49,350.29,1241
config_4,1,2,409.0,145650.0,0.2,28721.0,971,50,343.0,66.0,15,15,3.74,429.15,1514
config_5,1,2,409.0,136050.0,0.2,26801.0,907,108,343.0,66.0,15,15,6.71,584.95,1519
config_1,1,3,442.0,143850.0,0.2,28328.0,959,70,343.0,99.0,20,20,6.09,463.9,1482
config_2,1,3,442.0,130800.0,0.2,25718.0,872,155,343.0,99.0,20,20,10.27,685.23,1603
config_3,1,3,442.0,153750.0,0.2,30308.0,1025,0,343.0,99.0,20,8,1.55,227.95,807
config_4,1,3,442.0,153000.0,0.2,30158.0,1020,0,343.0,99.0,20,15,2.38,298.12,1213
config_5,1,3,442.0,147150.0,0.2,28988.0,981,53,343.0,99.0,20,20,5.41,411.0,1188
config_1,2,0,686.0,115050.0,0.2,22324.0,767,250,686.0,0.0,10,10,5.29,557.79,1332
config_2,2,0,686.0,88050.0,0.2,16924.0,587,428,686.0,0.0,10,10,7.13,720.3,1297
config_3,2,0,686.0,134700.0,0.2,26254.0,898,132,686.0,0.0,10,10,3.7,432.97,1065
config_4,2,0,686.0,134250.0,0.2,26164.0,895,124,686.0,0.0,10,10,4.13,478.61,1083
config_5,2,0,686.0,112350.0,0.2,21784.0,749,270,686.0,0.0,10,10,5.71,597.51,1218
config_1,2,1,719.0,140100.0,0.2,27301.0,934,90,686.0,33.0,15,15,4.56,402.86,1219
config_2,2,1,719.0,112050.0,0.2,21691.0,747,268,686.0,33.0,15,15,9.26,694.51,1443
config_3,2,1,719.0,147900.0,0.2,28861.0,986,31,686.0,33.0,15,15,3.31,308.3,913
config_4,2,1,719.0,150750.0,0.2,29431.0,1005,7,686.0,33.0,15,15,2.66,293.8,1126
config_5,2,1,719.0,138300.0,0.2,26941.0,922,94,686.0,33.0,15,15,5.03,453.39,1447
config_1,2,2,752.0,145350.0,0.2,28318.0,969,52,686.0,66.0,20,20,4.4,371.27,1489
config_2,2,2,752.0,133950.0,0.2,26038.0,893,135,686.0,66.0,20,20,8.95,591.13,1721
config_3,2,2,752.0,153150.0,0.2,29878.0,1021,0,686.0,66.0,20,9,1.29,210.44,825
config_4,2,2,752.0,153300.0,0.2,29908.0,1022,0,686.0,66.0,20,10,1.24,204.62,670
config_5,2,2,752.0,148650.0,0.2,28978.0,991,31,686.0,66.0,20,20,4.4,369.19,1464
config_1,2,3,785.0,151350.0,0.2,29485.0,1009,0,686.0,99.0,25,22,4.0,318.87,1770
config_2,2,3,785.0,143550.0,0.2,27925.0,957,67,686.0,99.0,25,25,6.79,423.32,1386
config_3,2,3,785.0,154350.0,0.2,30085.0,1029,0,686.0,99.0,25,10,1.27,202.03,925
config_4,2,3,785.0,153750.0,0.2,29965.0,1025,0,686.0,99.0,25,5,0.59,169.29,509
config_5,2,3,785.0,151950.0,0.2,29605.0,1013,3,686.0,99.0,25,25,3.86,318.23,1551
